Asset ID,Type,File path,Cue key,Bus,Origin / design,Licence,Variation,Looping
SFX_UI_BUTTON_01,SFX,assets/audio/sfx/ui_button/ui_button_01.wav,ui_button,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/4,one-shot
SFX_UI_BUTTON_02,SFX,assets/audio/sfx/ui_button/ui_button_02.wav,ui_button,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/4,one-shot
SFX_UI_BUTTON_03,SFX,assets/audio/sfx/ui_button/ui_button_03.wav,ui_button,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/4,one-shot
SFX_UI_BUTTON_04,SFX,assets/audio/sfx/ui_button/ui_button_04.wav,ui_button,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/4,one-shot
SFX_UI_NAVIGATION_01,SFX,assets/audio/sfx/ui_navigation/ui_navigation_01.wav,ui_navigation,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_UI_NAVIGATION_02,SFX,assets/audio/sfx/ui_navigation/ui_navigation_02.wav,ui_navigation,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_UI_NAVIGATION_03,SFX,assets/audio/sfx/ui_navigation/ui_navigation_03.wav,ui_navigation,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_MODAL_OPEN_01,SFX,assets/audio/sfx/modal_open/modal_open_01.wav,modal_open,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_MODAL_OPEN_02,SFX,assets/audio/sfx/modal_open/modal_open_02.wav,modal_open,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_MODAL_OPEN_03,SFX,assets/audio/sfx/modal_open/modal_open_03.wav,modal_open,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_MODAL_CLOSE_01,SFX,assets/audio/sfx/modal_close/modal_close_01.wav,modal_close,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_MODAL_CLOSE_02,SFX,assets/audio/sfx/modal_close/modal_close_02.wav,modal_close,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_MODAL_CLOSE_03,SFX,assets/audio/sfx/modal_close/modal_close_03.wav,modal_close,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_CONFIRMATION_01,SFX,assets/audio/sfx/confirmation/confirmation_01.wav,confirmation,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/2,one-shot
SFX_CONFIRMATION_02,SFX,assets/audio/sfx/confirmation/confirmation_02.wav,confirmation,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/2,one-shot
SFX_ERROR_01,SFX,assets/audio/sfx/error/error_01.wav,error,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_ERROR_02,SFX,assets/audio/sfx/error/error_02.wav,error,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_ERROR_03,SFX,assets/audio/sfx/error/error_03.wav,error,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_NOTIFICATION_01,SFX,assets/audio/sfx/notification/notification_01.wav,notification,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/2,one-shot
SFX_NOTIFICATION_02,SFX,assets/audio/sfx/notification/notification_02.wav,notification,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/2,one-shot
SFX_REWARD_01,SFX,assets/audio/sfx/reward/reward_01.wav,reward,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_REWARD_02,SFX,assets/audio/sfx/reward/reward_02.wav,reward,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_REWARD_03,SFX,assets/audio/sfx/reward/reward_03.wav,reward,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_LEVEL_UP_01,SFX,assets/audio/sfx/level_up/level_up_01.wav,level_up,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/1,one-shot
SFX_QUEST_COMPLETE_01,SFX,assets/audio/sfx/quest_complete/quest_complete_01.wav,quest_complete,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/2,one-shot
SFX_QUEST_COMPLETE_02,SFX,assets/audio/sfx/quest_complete/quest_complete_02.wav,quest_complete,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/2,one-shot
SFX_ITEM_DISCOVERY_01,SFX,assets/audio/sfx/item_discovery/item_discovery_01.wav,item_discovery,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/2,one-shot
SFX_ITEM_DISCOVERY_02,SFX,assets/audio/sfx/item_discovery/item_discovery_02.wav,item_discovery,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/2,one-shot
SFX_ITEM_PICKUP_01,SFX,assets/audio/sfx/item_pickup/item_pickup_01.wav,item_pickup,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/4,one-shot
SFX_ITEM_PICKUP_02,SFX,assets/audio/sfx/item_pickup/item_pickup_02.wav,item_pickup,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/4,one-shot
SFX_ITEM_PICKUP_03,SFX,assets/audio/sfx/item_pickup/item_pickup_03.wav,item_pickup,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/4,one-shot
SFX_ITEM_PICKUP_04,SFX,assets/audio/sfx/item_pickup/item_pickup_04.wav,item_pickup,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/4,one-shot
SFX_ITEM_DROP_01,SFX,assets/audio/sfx/item_drop/item_drop_01.wav,item_drop,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/4,one-shot
SFX_ITEM_DROP_02,SFX,assets/audio/sfx/item_drop/item_drop_02.wav,item_drop,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/4,one-shot
SFX_ITEM_DROP_03,SFX,assets/audio/sfx/item_drop/item_drop_03.wav,item_drop,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/4,one-shot
SFX_ITEM_DROP_04,SFX,assets/audio/sfx/item_drop/item_drop_04.wav,item_drop,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/4,one-shot
SFX_MERGE_INVALID_01,SFX,assets/audio/sfx/merge_invalid/merge_invalid_01.wav,merge_invalid,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_MERGE_INVALID_02,SFX,assets/audio/sfx/merge_invalid/merge_invalid_02.wav,merge_invalid,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_MERGE_INVALID_03,SFX,assets/audio/sfx/merge_invalid/merge_invalid_03.wav,merge_invalid,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_MERGE_GENERIC_01,SFX,assets/audio/sfx/merge_generic/merge_generic_01.wav,merge_generic,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/4,one-shot
SFX_MERGE_GENERIC_02,SFX,assets/audio/sfx/merge_generic/merge_generic_02.wav,merge_generic,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/4,one-shot
SFX_MERGE_GENERIC_03,SFX,assets/audio/sfx/merge_generic/merge_generic_03.wav,merge_generic,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/4,one-shot
SFX_MERGE_GENERIC_04,SFX,assets/audio/sfx/merge_generic/merge_generic_04.wav,merge_generic,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/4,one-shot
SFX_MERGE_WOOD_01,SFX,assets/audio/sfx/merge_wood/merge_wood_01.wav,merge_wood,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/4,one-shot
SFX_MERGE_WOOD_02,SFX,assets/audio/sfx/merge_wood/merge_wood_02.wav,merge_wood,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/4,one-shot
SFX_MERGE_WOOD_03,SFX,assets/audio/sfx/merge_wood/merge_wood_03.wav,merge_wood,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/4,one-shot
SFX_MERGE_WOOD_04,SFX,assets/audio/sfx/merge_wood/merge_wood_04.wav,merge_wood,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/4,one-shot
SFX_MERGE_METAL_01,SFX,assets/audio/sfx/merge_metal/merge_metal_01.wav,merge_metal,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/4,one-shot
SFX_MERGE_METAL_02,SFX,assets/audio/sfx/merge_metal/merge_metal_02.wav,merge_metal,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/4,one-shot
SFX_MERGE_METAL_03,SFX,assets/audio/sfx/merge_metal/merge_metal_03.wav,merge_metal,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/4,one-shot
SFX_MERGE_METAL_04,SFX,assets/audio/sfx/merge_metal/merge_metal_04.wav,merge_metal,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/4,one-shot
SFX_MERGE_MEDICAL_01,SFX,assets/audio/sfx/merge_medical/merge_medical_01.wav,merge_medical,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_MERGE_MEDICAL_02,SFX,assets/audio/sfx/merge_medical/merge_medical_02.wav,merge_medical,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_MERGE_MEDICAL_03,SFX,assets/audio/sfx/merge_medical/merge_medical_03.wav,merge_medical,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_MERGE_FOOD_01,SFX,assets/audio/sfx/merge_food/merge_food_01.wav,merge_food,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_MERGE_FOOD_02,SFX,assets/audio/sfx/merge_food/merge_food_02.wav,merge_food,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_MERGE_FOOD_03,SFX,assets/audio/sfx/merge_food/merge_food_03.wav,merge_food,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_MERGE_ELECTRONICS_01,SFX,assets/audio/sfx/merge_electronics/merge_electronics_01.wav,merge_electronics,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/4,one-shot
SFX_MERGE_ELECTRONICS_02,SFX,assets/audio/sfx/merge_electronics/merge_electronics_02.wav,merge_electronics,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/4,one-shot
SFX_MERGE_ELECTRONICS_03,SFX,assets/audio/sfx/merge_electronics/merge_electronics_03.wav,merge_electronics,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/4,one-shot
SFX_MERGE_ELECTRONICS_04,SFX,assets/audio/sfx/merge_electronics/merge_electronics_04.wav,merge_electronics,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/4,one-shot
SFX_MERGE_FUEL_01,SFX,assets/audio/sfx/merge_fuel/merge_fuel_01.wav,merge_fuel,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_MERGE_FUEL_02,SFX,assets/audio/sfx/merge_fuel/merge_fuel_02.wav,merge_fuel,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_MERGE_FUEL_03,SFX,assets/audio/sfx/merge_fuel/merge_fuel_03.wav,merge_fuel,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_MERGE_HIGH_01,SFX,assets/audio/sfx/merge_high/merge_high_01.wav,merge_high,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/2,one-shot
SFX_MERGE_HIGH_02,SFX,assets/audio/sfx/merge_high/merge_high_02.wav,merge_high,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/2,one-shot
SFX_PRODUCER_ACTIVATE_01,SFX,assets/audio/sfx/producer_activate/producer_activate_01.wav,producer_activate,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/4,one-shot
